"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1";"Hyundai Ix35";"Ix35 2.0crdi Gls Style Sky Nav 4x4
";"12.900€";"10/2010";"184 cv";"122.000 km";"Diesel";"5 puertas";"441 cm";"167 cm";"182 cm";"1.525 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-gls-style-sky-nav-4x4-en-madrid.htm?id=2914074"
"2";"Audi Q2";"1.4 Tfsi Cod Design Edition S Tronic 150
";"28.900€";"05/2017";"150 cv";"6.284 km";"Gasolina";"5 puertas";"419 cm";"151 cm";"179 cm";"1.280 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-14-tfsi-cod-design-edition-s-tronic-150-en-madrid.htm?id=2912481"
"3";"Hyundai Ix35";"Ix35 2.0crdi Gl Classic 4x2
";"10.300€";"10/2012";"136 cv";"189.000 km";"Diesel";"5 puertas";"441 cm";"167 cm";"182 cm";"1.458 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-ix35-20crdi-gl-classic-4x2-en-madrid.htm?id=2908305"
"4";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.890€";"06/2013";"130 cv";"123.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911130"
"5";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.890€";"06/2013";"130 cv";"123.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911126"
"6";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.990€";"06/2013";"130 cv";"108.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911111"
"7";"Renault Twingo Societé";"1.5 Dci 75
";"3.420€";"03/2012";"75 cv";"90.000 km";"Diesel";"3 puertas";"360 cm";"147 cm";"165 cm";"980 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo+societe-15-dci-75-en-madrid.htm?id=2911106"
"8";"Opel Zafira";"Tourer 2.0cdti Selective 130
";"11.490€";"01/2013";"130 cv";"99.000 km";"Diesel";"5 puertas";"466 cm";"169 cm";"188 cm";"1.658 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira-tourer-20cdti-selective-130-en-madrid.htm?id=2911105"
"9";"Seat Ibiza";"1.4tdi Cr S&s Style 105
";"10.000€";"2017";"105 cv";"25.500 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.161 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-14tdi-cr-s_s-style-105-en-madrid.htm?id=2799404"
"10";"Mazda Cx-7";"Cx-7 2.2crtd Active
";"12.500€";"05/2010";"173 cv";"98.000 km";"Diesel";"5 puertas";"468 cm";"165 cm";"187 cm";"1.875 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mazda-cx-7-22crtd-active-en-madrid.htm?id=2909185"
"11";"Opel Insignia";"St 2.0cdti Selective S&s
";"10.500€";"09/2013";"130 cv";"82.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2908888"
"12";"Volkswagen Golf";"1.6tdi Cr Bmt Edition 110
";"15.690€";"02/2016";"110 cv";"9.921 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.299 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-edition-110-en-madrid.htm?id=2907277"
"13";"Renault Scénic";"G. 1.6dci Energy Limited 5pl.
";"9.900€";"2014";"130 cv";"135.000 km";"Diesel";"5 puertas";"457 cm";"165 cm";"185 cm";"1.563 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-g-16dci-energy-limited-5pl-en-madrid.htm?id=2906134"
"14";"Ssangyong Rodius";"D22t Premium
";"18.900€";"2016";"178 cv";"52.098 km";"Diesel";"5 puertas";"513 cm";"182 cm";"192 cm";"1.981 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rodius-d22t-premium-en-madrid.htm?id=2905887"
"15";"Toyota Aygo";"1.0 Vvt-i City
";"5.100€";"09/2013";"68 cv";"59.000 km";"Gasolina";"3 puertas";"343 cm";"147 cm";"162 cm";"800 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-aygo-10-vvt-i-city-en-madrid.htm?id=2904094"
"16";"Seat Ibiza";"1.0 Ecotsi S&s Reference Plus 95
";"10.990€";"2017";"95 cv";"1.600 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-reference-plus-95-en-madrid.htm?id=2870054"
"17";"Seat León";"1.2 Tsi S&s Style 110
";"12.190€";"2017";"110 cv";"9.330 km";"Gasolina";"5 puertas";"428 cm";"146 cm";"182 cm";"1.213 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-12-tsi-s_s-style-110-en-madrid.htm?id=2902290"
"18";"Opel Insignia";"St 2.0cdti Selective S&s
";"10.890€";"05/2013";"130 cv";"87.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911131"
"19";"Fiat Dobló";"Cargo 1.3mjt Base 90 E5+
";"5.066€";"08/2014";"90 cv";"119.000 km";"Diesel";"3 puertas";"439 cm";"185 cm";"183 cm";"1.345 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-doblo-cargo-13mjt-base-90-e5+-en-madrid.htm?id=2911128"
"20";"Alfa Romeo Stelvio";"2.2 Rwd Aut. 150
";"35.950€";"2018";"150 cv";"1 km";"Diesel";"5 puertas";"469 cm";"167 cm";"190 cm";"1.604 kg";"https://www.coches.com/km0/seminuevo-alfa+romeo-stelvio-22-rwd-aut-150-en-madrid.htm?id=2900099"
"21";"Renault Mégane";"1.6 Europa
";"950€";"09/1998";"75 cv";"77.000 km";"Gasolina";"5 puertas";"0 cm";"0 cm";"170 cm";"1.155 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-16-europa-en-madrid.htm?id=2907307"
"22";"Opel Vectra";"1.9cdti 8v Elegance 120
";"4.300€";"09/2007";"120 cv";"122.000 km";"Diesel";"5 puertas";"461 cm";"146 cm";"180 cm";"1.523 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-vectra-19cdti-8v-elegance-120-en-madrid.htm?id=2907299"
"23";"Volkswagen Beetle";"Cabrio. 1.6
";"10.400€";"03/2009";"102 cv";"64.000 km";"Gasolina";"2 puertas";"413 cm";"150 cm";"172 cm";"1.300 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-beetle-cabrio-16-en-madrid.htm?id=2909184"
"24";"Volkswagen Passat";"Variant 2.0tdi Advance Bmt
";"12.490€";"09/2012";"140 cv";"116.000 km";"Diesel";"5 puertas";"477 cm";"152 cm";"182 cm";"1.571 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-variant-20tdi-advance-bmt-en-madrid.htm?id=2910735"
"25";"Seat Ibiza";"1.0 S&s Reference Plus 75
";"10.290€";"2017";"75 cv";"8 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.091 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-s_s-reference-plus-75-en-madrid.htm?id=2660657"
"26";"Seat Ibiza";"1.0 S&s Reference Plus 75
";"10.990€";"2017";"75 cv";"8 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.091 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-s_s-reference-plus-75-en-madrid.htm?id=2776313"
"27";"Seat Ateca";"1.6tdi Cr S&s Ecomotive Style
";"20.590€";"2017";"115 cv";"6.800 km";"Diesel";"5 puertas";"436 cm";"160 cm";"184 cm";"1.375 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-16tdi-cr-s_s-ecomotive-style-en-madrid.htm?id=2670712"
"28";"Seat Ateca";"2.0tdi Cr S&s Style 4drive 150
";"25.190€";"2017";"150 cv";"2.500 km";"Diesel";"5 puertas";"436 cm";"161 cm";"184 cm";"1.548 kg";"https://www.coches.com/km0/seminuevo-seat-ateca-20tdi-cr-s_s-style-4drive-150-en-madrid.htm?id=2822689"
"29";"Audi A8";"4.2 Fsi Quattro Tiptronic
";"15.800€";"10/2009";"350 cv";"134.000 km";"Gasolina";"4 puertas";"506 cm";"144 cm";"189 cm";"1.875 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a8-42-fsi-quattro-tiptronic-en-madrid.htm?id=2898412"
"30";"Renault Mégane";"S.t. 1.5dci Expression 110
";"8.175€";"03/2013";"110 cv";"109.000 km";"Diesel";"5 puertas";"456 cm";"151 cm";"180 cm";"1.302 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-expression-110-en-madrid.htm?id=2910703"
"31";"Volkswagen Caddy";"Pro 1.6tdi Bmt Kombi 102
";"8.500€";"07/2014";"102 cv";"149.800 km";"Diesel";"4 puertas";"441 cm";"182 cm";"179 cm";"1.538 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-caddy-pro-16tdi-bmt-kombi-102-en-madrid.htm?id=2914196"
"32";"Audi A1";"Sportback 1.6tdi Adrenalin
";"15.490€";"03/2017";"116 cv";"16.679 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin-en-madrid.htm?id=2907276"
"33";"Audi Q2";"1.6tdi Design Edition 116
";"23.890€";"03/2017";"116 cv";"15.321 km";"Diesel";"5 puertas";"419 cm";"151 cm";"179 cm";"1.310 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-q2-16tdi-design-edition-116-en-madrid.htm?id=2892967"
"34";"Seat León";"St 1.4 Tsi S&s Style 125
";"15.590€";"2017";"125 cv";"3.600 km";"Gasolina";"5 puertas";"455 cm";"145 cm";"182 cm";"1.257 kg";"https://www.coches.com/km0/seminuevo-seat-leon-st-14-tsi-s_s-style-125-en-madrid.htm?id=2792108"
"35";"Citroen Berlingo";"Multispace 1.6hdi Tonic 90
";"7.355€";"2014";"92 cv";"98.000 km";"Diesel";"4 puertas";"438 cm";"180 cm";"181 cm";"1.360 kg";"https://www.coches.com/coches-segunda-mano/ocasion-citroen-berlingo-multispace-16hdi-tonic-90-en-madrid.htm?id=2910908"
"36";"Jeep Compass";"1.6 Mjt Sport 4x2 120
";"21.350€";"2018";"120 cv";"1 km";"Diesel";"5 puertas";"439 cm";"164 cm";"182 cm";"1.519 kg";"https://www.coches.com/km0/seminuevo-jeep-compass-16-mjt-sport-4x2-120-en-madrid.htm?id=2889101"
"37";"Mazda Mazda3";"1.6crtd Active
";"2.700€";"07/2006";"109 cv";"146.000 km";"Diesel";"5 puertas";"441 cm";"147 cm";"176 cm";"1.350 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mazda-mazda3-16crtd-active-en-madrid.htm?id=2907295"
"38";"Seat León";"St 2.0tdi Cr S&s Style 150
";"16.790€";"2017";"150 cv";"19.050 km";"Diesel";"5 puertas";"455 cm";"145 cm";"182 cm";"1.358 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-20tdi-cr-s_s-style-150-en-madrid.htm?id=2906191"
"39";"Seat Alhambra";"2.0tdi Cr Eco. S&s Reference 150
";"23.990€";"2017";"150 cv";"4.870 km";"Diesel";"5 puertas";"485 cm";"172 cm";"190 cm";"1.798 kg";"https://www.coches.com/km0/seminuevo-seat-alhambra-20tdi-cr-eco-s_s-reference-150-en-madrid.htm?id=2884857"
"40";"Peugeot 3008";"1.6 Bluehdi Style 120
";"14.990€";"2016";"121 cv";"38.813 km";"Diesel";"5 puertas";"437 cm";"163 cm";"184 cm";"1.420 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-3008-16-bluehdi-style-120-en-madrid.htm?id=2880740"
"41";"Audi A5";"Sportback 2.0tdi Quattro S-tronic 177
";"22.990€";"2014";"177 cv";"80.500 km";"Diesel";"5 puertas";"471 cm";"139 cm";"185 cm";"1.515 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a5-sportback-20tdi-quattro-s-tronic-177-en-madrid.htm?id=2848419"
"42";"Seat Ibiza";"1.4tdi Cr S&s Style 105
";"10.000€";"2017";"105 cv";"13.905 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.161 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-14tdi-cr-s_s-style-105-en-madrid.htm?id=2901652"
"43";"Renault Kangoo";"Express 1.5dci Confort 70
";"3.100€";"12/2007";"70 cv";"100.000 km";"Diesel";"4 puertas";"404 cm";"180 cm";"167 cm";"1.115 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-express-15dci-confort-70-en-madrid.htm?id=2914298"
"44";"Audi A1";"Sportback 1.6tdi Attraction
";"15.490€";"03/2017";"116 cv";"18.455 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-madrid.htm?id=2907273"
"45";"Suzuki Grand Vitara";"1.9ddis Jlx
";"6.800€";"06/2007";"129 cv";"146.000 km";"Diesel";"5 puertas";"447 cm";"170 cm";"181 cm";"1.590 kg";"https://www.coches.com/coches-segunda-mano/ocasion-suzuki-grand+vitara-19ddis-jlx-en-madrid.htm?id=2905674"
"46";"Renault Kangoo";"Combi 1.5dci Profesional 75
";"5.500€";"07/2014";"75 cv";"127.500 km";"Diesel";"5 puertas";"428 cm";"184 cm";"183 cm";"1.319 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-combi-15dci-profesional-75-en-madrid.htm?id=2875406"
"47";"Hyundai I40";"I40 1.7crdi Bluedrive Essence
";"11.990€";"2014";"115 cv";"64.800 km";"Diesel";"4 puertas";"474 cm";"147 cm";"182 cm";"1.479 kg";"https://www.coches.com/coches-segunda-mano/ocasion-hyundai-i40-17crdi-bluedrive-essence-en-madrid.htm?id=2889268"
"48";"Ford Transit";"Ft 350l Van Tracción Del. 140
";"4.050€";"04/2010";"140 cv";"329.000 km";"Diesel";"4 puertas";"568 cm";"233 cm";"197 cm";"1.924 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-transit-ft-350l-van-traccion-del-140-en-madrid.htm?id=2911326"
"49";"Peugeot 208";"1.2 Puretech Style 82
";"9.000€";"2016";"82 cv";"17.000 km";"Gasolina";"3 puertas";"397 cm";"146 cm";"174 cm";"1.040 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-208-12-puretech-style-82-en-madrid.htm?id=2899835"
"50";"Toyota Avensis";"Cs 2.0d-4d Advance
";"8.990€";"2011";"126 cv";"130.400 km";"Diesel";"5 puertas";"477 cm";"148 cm";"181 cm";"1.520 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-avensis-cs-20d-4d-advance-en-madrid.htm?id=2844836"
"51";"Toyota Auris";"Hybrid 140h Active
";"16.450€";"09/2016";"136 cv";"11.200 km";"Híbrido";"5 puertas";"433 cm";"148 cm";"176 cm";"1.310 kg";"https://www.coches.com/coches-segunda-mano/ocasion-toyota-auris-hybrid-140h-active-en-madrid.htm?id=2905677"
"52";"Volkswagen Golf";"1.6tdi Cr Bmt Edition 110
";"15.290€";"01/2016";"110 cv";"22.321 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.299 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-cr-bmt-edition-110-en-madrid.htm?id=2907279"
"53";"Seat León";"1.6tdi Cr S&s Style 115
";"13.490€";"2017";"115 cv";"10.960 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.260 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-s_s-style-115-en-madrid.htm?id=2902287"
"54";"Seat Ibiza";"1.0 Ecotsi S&s Reference Plus 95
";"10.990€";"2017";"95 cv";"6.216 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-10-ecotsi-s_s-reference-plus-95-en-madrid.htm?id=2704433"
"55";"Ford Fiesta";"1.5 Tdci Trend
";"4.000€";"08/2013";"75 cv";"100.000 km";"Diesel";"3 puertas";"397 cm";"147 cm";"171 cm";"1.108 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-fiesta-15-tdci-trend-en-madrid.htm?id=2888896"
"56";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.490€";"06/2013";"130 cv";"131.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2911122"
"57";"Ssangyong Rodius";"D22t Premium
";"22.900€";"2017";"178 cv";"15.552 km";"Diesel";"5 puertas";"513 cm";"182 cm";"192 cm";"1.981 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rodius-d22t-premium-en-madrid.htm?id=2885338"
"58";"Renault Clio";"Grand Tour 1.5dci Authentique
";"5.950€";"08/2012";"75 cv";"105.000 km";"Diesel";"5 puertas";"423 cm";"151 cm";"172 cm";"1.185 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-clio-grand-tour-15dci-authentique-en-madrid.htm?id=2869885"
"59";"Opel Insignia";"St 2.0cdti Selective S&s
";"10.890€";"05/2013";"130 cv";"87.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2876900"
"60";"Opel Insignia";"St 2.0cdti Selective S&s
";"9.890€";"06/2013";"130 cv";"123.000 km";"Diesel";"5 puertas";"491 cm";"152 cm";"186 cm";"1.613 kg";"https://www.coches.com/coches-segunda-mano/ocasion-opel-insignia-st-20cdti-selective-s_s-en-madrid.htm?id=2876907"
"61";"Seat León";"2.0tdi Cr S&s Style 150
";"16.990€";"2017";"150 cv";"5.578 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.305 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20tdi-cr-s_s-style-150-en-madrid.htm?id=2836553"
"62";"Volkswagen Golf";"2.0tdi Cr Bmt Sport Dsg 150
";"17.490€";"07/2015";"150 cv";"75.399 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.375 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-cr-bmt-sport-dsg-150-en-madrid.htm?id=2867617"
"63";"Seat León";"1.6tdi Cr S&s Style Eco. 110
";"10.490€";"05/2015";"110 cv";"75.205 km";"Diesel";"5 puertas";"426 cm";"146 cm";"182 cm";"1.260 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-s_s-style-eco-110-en-madrid.htm?id=2866755"
"64";"Toyota Auris";"Touring Sports 120t Active
";"16.525€";"2018";"116 cv";"1 km";"Gasolina";"5 puertas";"460 cm";"149 cm";"176 cm";"1.190 kg";"https://www.coches.com/km0/seminuevo-toyota-auris-touring-sports-120t-active-en-madrid.htm?id=2874357"
"65";"Bmw Serie 2";"218da Active Tourer
";"20.900€";"2017";"150 cv";"24.062 km";"Diesel";"5 puertas";"434 cm";"156 cm";"180 cm";"1.410 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+2-218da-active-tourer-en-madrid.htm?id=2899877"
"66";"Jaguar Xj";"Xj8 3.2 Executive
";"4.990€";"11/1998";"240 cv";"108.617 km";"Gasolina";"4 puertas";"503 cm";"135 cm";"180 cm";"1.710 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jaguar-xj-8-32-executive-en-madrid.htm?id=2866243"
"67";"Peugeot Bipper Comercial";"Bipper Furgón 1.3hdi 75
";"4.487€";"08/2014";"75 cv";"132.000 km";"Diesel";"3 puertas";"386 cm";"172 cm";"172 cm";"1.090 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-bipper+comercial-bipper-furgon-13hdi-75-en-madrid.htm?id=2911119"
"68";"Volkswagen Golf";"2.0tdi Cr Bmt Sport Dsg 150
";"19.490€";"03/2016";"150 cv";"33.842 km";"Diesel";"5 puertas";"426 cm";"145 cm";"180 cm";"1.375 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-cr-bmt-sport-dsg-150-en-madrid.htm?id=2867618"
"69";"Volvo V40 Cross Country";"D3 Momentum Aut.
";"16.500€";"11/2013";"150 cv";"88.467 km";"Diesel";"5 puertas";"437 cm";"146 cm";"178 cm";"1.486 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volvo-v40+cross+country-d3-momentum-aut-en-madrid.htm?id=2873656"
"70";"Fiat 500";"1.2 Lounge
";"6.500€";"12/2011";"69 cv";"35.000 km";"Gasolina";"3 puertas";"355 cm";"149 cm";"163 cm";"865 kg";"https://www.coches.com/coches-segunda-mano/ocasion-fiat-500-12-lounge-en-madrid.htm?id=2903734"
"71";"Renault Scénic";"Ii 1.6 Luxe Privilege
";"2.300€";"01/2005";"115 cv";"121.000 km";"Gasolina";"5 puertas";"426 cm";"162 cm";"181 cm";"1.320 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-ii-16-luxe-privilege-en-madrid.htm?id=2898248"
"72";"Ford Mondeo";"1.6tdci Auto-s&s Limited Edition
";"11.500€";"04/2014";"115 cv";"39.000 km";"Diesel";"5 puertas";"478 cm";"150 cm";"189 cm";"1.557 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-16tdci-auto-s_s-limited-edition-en-madrid.htm?id=2856658"
"73";"Seat León";"2.0tdi Cr S&s Style 150
";"17.390€";"2017";"150 cv";"1.541 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.305 kg";"https://www.coches.com/km0/seminuevo-seat-leon-20tdi-cr-s_s-style-150-en-madrid.htm?id=2797693"
"74";"Mercedes Vito";"115cdi L Larga
";"7.990€";"07/2010";"150 cv";"212.301 km";"Diesel";"4 puertas";"499 cm";"188 cm";"190 cm";"1.910 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-vito-115cdi-l-larga-en-madrid.htm?id=2866272"
"75";"Renault Mégane";"1.6dci Energy Bose S&s 130
";"10.900€";"05/2014";"130 cv";"77.000 km";"Diesel";"5 puertas";"430 cm";"147 cm";"181 cm";"1.320 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-16dci-energy-bose-s_s-130-en-madrid.htm?id=2898249"
"76";"Ford Mondeo";"2.0tdci Futura X
";"2.750€";"05/2007";"130 cv";"210.000 km";"Diesel";"4 puertas";"473 cm";"143 cm";"181 cm";"1.416 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-futura-x-en-madrid.htm?id=2908334"
"77";"Ssangyong Rodius";"D22t Premium
";"18.900€";"2016";"178 cv";"50.899 km";"Diesel";"5 puertas";"513 cm";"182 cm";"192 cm";"1.981 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-rodius-d22t-premium-en-madrid.htm?id=2905900"
"78";"Ford C-max";"C-max 1.6tdci Trend 115
";"8.990€";"03/2011";"115 cv";"83.460 km";"Diesel";"5 puertas";"438 cm";"163 cm";"183 cm";"1.390 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-c-max-16tdci-trend-115-en-madrid.htm?id=2866228"
"79";"Audi A1";"Sportback 1.6tdi Attraction
";"15.690€";"03/2017";"116 cv";"17.892 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-attraction-en-madrid.htm?id=2905663"
"80";"Bmw Serie 1";"120d
";"10.470€";"01/2010";"177 cv";"134.351 km";"Diesel";"5 puertas";"424 cm";"142 cm";"175 cm";"1.450 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-serie+1-120d-en-madrid.htm?id=2866198"
"81";"Bmw X3";"3.0d
";"8.490€";"06/2006";"218 cv";"193.532 km";"Diesel";"5 puertas";"457 cm";"167 cm";"185 cm";"1.805 kg";"https://www.coches.com/coches-segunda-mano/ocasion-bmw-x3-30d-en-madrid.htm?id=2866208"
"82";"Audi A1";"Sportback 1.6tdi Adrenalin
";"15.490€";"03/2017";"116 cv";"16.500 km";"Diesel";"5 puertas";"397 cm";"142 cm";"175 cm";"1.250 kg";"https://www.coches.com/coches-segunda-mano/ocasion-audi-a1-sportback-16tdi-adrenalin-en-madrid.htm?id=2907271"
"83";"Ford Transit Custom";"Ft 290 L2 Van Trend 170
";"18.900€";"2016";"170 cv";"3.586 km";"Diesel";"4 puertas";"534 cm";"191 cm";"208 cm";"1.999 kg";"https://www.coches.com/km0/seminuevo-ford-transit+custom-ft-290-l2-van-trend-170-en-madrid.htm?id=2833117"
"84";"Jaguar S-type";"S-type 2.7d V6 Classic
";"4.999€";"2005";"207 cv";"172.000 km";"Diesel";"4 puertas";"491 cm";"145 cm";"182 cm";"1.722 kg";"https://www.coches.com/coches-segunda-mano/ocasion-jaguar-s-type-27d-v6-classic-en-madrid.htm?id=2904516"
"85";"Seat Ibiza";"1.0 Ecotsi S&s Reference 95
";"11.190€";"2018";"95 cv";"3 km";"Gasolina";"5 puertas";"406 cm";"144 cm";"178 cm";"1.122 kg";"https://www.coches.com/km0/seminuevo-seat-ibiza-10-ecotsi-s_s-reference-95-en-madrid.htm?id=2868529"
"86";"Renault Kangoo";"Fg. 1.5dci Profesional 90 Gen5
";"4.983€";"10/2014";"90 cv";"135.000 km";"Diesel";"3 puertas";"428 cm";"184 cm";"183 cm";"1.280 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-kangoo-fg-15dci-profesional-90-gen5-en-madrid.htm?id=2910787"
"87";"Peugeot Partner";"Tepee 1.6hdi Access
";"6.800€";"03/2014";"75 cv";"115.000 km";"Diesel";"4 puertas";"438 cm";"180 cm";"181 cm";"1.360 kg";"https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16hdi-access-en-madrid.htm?id=2910714"
"88";"Volkswagen Passat";"Variant 2.0tdi Advance Bmt
";"12.490€";"09/2012";"140 cv";"116.000 km";"Diesel";"5 puertas";"477 cm";"152 cm";"182 cm";"1.571 kg";"https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-passat-variant-20tdi-advance-bmt-en-madrid.htm?id=2873228"
"89";"Renault Scénic";"G. 1.6dci Energy Dynamique 5pl.
";"11.490€";"2013";"130 cv";"77.700 km";"Diesel";"5 puertas";"457 cm";"165 cm";"185 cm";"1.563 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-g-16dci-energy-dynamique-5pl-en-madrid.htm?id=2898629"
