"";"nombre";"subnombre";"precio";"year";"potencia";"km";"combustible";"puertas";"long";"alt";"anch";"peso";"url"
"1243";"Ford Mondeo";"2.0tdci Titanium 150
";"19.900€";"09/2015";"150 cv";"21.000 km";"Diesel";"5 puertas";"487 cm";"148 cm";"185 cm";"1.578 kg";"https://www.coches.com/coches-segunda-mano/ocasion-ford-mondeo-20tdci-titanium-150-en-madrid.htm?id=2859921"
"1244";"Skoda Octavia";"2.0tdi Elegance
";"6.900€";"2008";"140 cv";"147.026 km";"Diesel";"5 puertas";"457 cm";"146 cm";"177 cm";"1.410 kg";"https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-elegance-en-madrid.htm?id=2860725"
"1245";"Mercedes Clase A";"A 200d 7g-dct
";"24.900€";"09/2016";"136 cv";"6.440 km";"Diesel";"5 puertas";"430 cm";"143 cm";"178 cm";"1.485 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=2883206"
"1246";"Mercedes Clase E";"E 220 Bt Avantgarde 4m 7g Tronic Plus
";"28.900€";"12/2015";"170 cv";"52.093 km";"Diesel";"4 puertas";"488 cm";"148 cm";"185 cm";"1.735 kg";"https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+e-e-220-bt-avantgarde-4m-7g-tronic-plus-en-madrid.htm?id=2900724"
"1247";"Fiat Tipo";"Sw 1.6 Multijet Ii Lounge 120
";"16.500€";"2018";"120 cv";"1 km";"Diesel";"5 puertas";"457 cm";"151 cm";"179 cm";"1.320 kg";"https://www.coches.com/km0/seminuevo-fiat-tipo-sw-16-multijet-ii-lounge-120-en-madrid.htm?id=2884630"
"1248";"Renault Twingo";"1.2 Emotion Eco2
";"5.400€";"2014";"75 cv";"91.500 km";"Gasolina";"3 puertas";"369 cm";"147 cm";"165 cm";"950 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-emotion-eco2-en-madrid.htm?id=2891260"
"1249";"Renault Scénic";"1.5dci Expression 95
";"9.990€";"2012";"95 cv";"75.500 km";"Diesel";"5 puertas";"437 cm";"164 cm";"185 cm";"1.408 kg";"https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-expression-95-en-madrid.htm?id=2868494"
"1250";"Seat Ibiza";"1.6tdi Cr Style 105
";"9.500€";"03/2015";"105 cv";"28.033 km";"Diesel";"5 puertas";"406 cm";"145 cm";"169 cm";"1.170 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-16tdi-cr-style-105-en-madrid.htm?id=2913680"
"1251";"Toyota Yaris";"100h 1.5 Active
";"15.600€";"2018";"100 cv";"1 km";"Híbrido";"5 puertas";"395 cm";"151 cm";"170 cm";"1.090 kg";"https://www.coches.com/km0/seminuevo-toyota-yaris-100h-15-active-en-madrid.htm?id=2874327"
"1252";"Seat León";"1.6tdi Cr S&s Style 115
";"16.590€";"2017";"115 cv";"8.418 km";"Diesel";"5 puertas";"428 cm";"146 cm";"182 cm";"1.260 kg";"https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-16tdi-cr-s_s-style-115-en-madrid.htm?id=2795097"
